Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7
77,Line,,2,,,13,12,None,Arrow,,,,,,,,
78,Line,,2,,,17,26,None,Arrow,,,,,,,,
79,Line,,2,,,,,None,Arrow,,,,,,,,
80,Line,,2,,,26,,None,Arrow,,,,,,,,
81,Line,,2,,,26,,None,Arrow,,,,,,,,
82,Line,,2,,,7,,None,Arrow,,,,,,,,
83,Line,,2,,,33,17,None,Arrow,,,,,,,,
84,Line,,2,,,71,,None,Arrow,,,,,,,,
85,Line,,2,,,8,38,None,Arrow,,,,,,,,
86,Line,,2,,,33,43,None,Arrow,,,,,,,,
87,Line,,2,,,73,58,None,Arrow,,,,,,,,
88,Line,,2,,,55,7,None,Arrow,,,,,,,,
89,Line,,2,,,75,9,None,Arrow,,,,,,,,
90,Line,,2,,,72,,None,Arrow,,,,,,,,
91,Line,,2,,,73,57,None,Arrow,,,,,,,,
92,Line,,2,,,17,61,None,Arrow,,,,,,,,
93,Line,,2,,,92,60,None,Arrow,,,,,,,,
94,Line,,2,,,92,59,None,Arrow,,,,,,,,
95,Line,,2,,,,,None,Arrow,,,,,,,,
96,Line,,2,,,95,69,None,Arrow,,,,,,,,
