Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
260,MinimalTextBlock,Standard,246,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 3 Pager -  Background",,,,,,,,,,
261,MinimalTextBlock,Standard,246,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 3 of 3 ",,,,,,,,,,
262,MinimalTextBlock,Standard,246,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 3 Pager -  Background",,,,,,,,,,
263,User Image,User Images,246,,,,,,,,,,,,,,,,,,
264,MinimalTextBlock,Standard,246,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
265,MinimalTextBlock,Standard,246,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
266,Page,,,,,,,,,,4 Pager -  Background,,,,,,,,,,
267,Text,Standard,266,273:2,,,,,,,,,,,,,,,,,
268,Text,Standard,266,,,,,,,,,,,,,,,,,,
269,Text,Standard,266,,,,,,,,,,,,,,,,,,
270,MinimalTextBlock,Standard,266,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 1 of 4 ",,,,,,,,,,
271,MinimalTextBlock,Standard,266,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 4 Pager -  Background",,,,,,,,,,
272,AdvancedSwimLaneBlockRotated,Flowchart Shapes,266,,,,,,,,WCS,,,,,,,,,,
273,AdvancedSwimLaneBlockRotated,Flowchart Shapes,266,,,,,,,,KN System,KN Admin,KN Warehouse,,,,,,,,
274,AdvancedSwimLaneBlockRotated,Flowchart Shapes,266,,,,,,,,Customer,,,,,,,,,,
275,AdvancedSwimLaneBlockRotated,Flowchart Shapes,266,,,,,,,,Data/Documents,,,,,,,,,,
276,MinimalTextBlock,Standard,266,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
277,User Image,User Images,266,,,,,,,,,,,,,,,,,,
278,User Image,User Images,266,,,,,,,,,,,,,,,,,,
279,MinimalTextBlock,Standard,266,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 2 of 4",,,,,,,,,,
280,MinimalTextBlock,Standard,266,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 4 Pager -  Background",,,,,,,,,,
281,MinimalTextBlock,Standard,266,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 3 of 4 ",,,,,,,,,,
282,MinimalTextBlock,Standard,266,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 4 Pager -  Background",,,,,,,,,,
283,User Image,User Images,266,,,,,,,,,,,,,,,,,,
284,MinimalTextBlock,Standard,266,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
285,MinimalTextBlock,Standard,266,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
286,MinimalTextBlock,Standard,266,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 4 of 4 ",,,,,,,,,,
287,MinimalTextBlock,Standard,266,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 4 Pager -  Background",,,,,,,,,,
288,MinimalTextBlock,Standard,266,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
289,User Image,User Images,266,,,,,,,,,,,,,,,,,,
